Borough,FIPS County Code,Code,Name,Total Population,Under 5 Years,5-9      Years,10-14 Years,15-19 Years,20-24 Years,25-29 Years,30-34 Years,35-39 Years,40-44 Years,45-49 Years,50-54 Years,55-59 Years,60-64 Years,65 Years and Over,Median Age
Brooklyn,47,BK76,Greenpoint,34719,1199,970,959,1158,2834,6125,5128,3086,2217,1915,2141,1964,1624,3399,33.8
Brooklyn,47,BK77,Bushwick North,57138,4304,3894,3637,4177,6247,6884,5509,4552,3870,3450,2891,2328,1858,3537,29.6
Brooklyn,47,BK78,Bushwick South,72101,4838,4712,5004,5619,7712,8016,5968,4658,4575,4536,4027,3272,2768,6396,30.1
Brooklyn,47,BK79,Ocean Hill,31935,2493,2387,2569,2760,2551,2482,2204,2131,2303,2350,2056,1549,1206,2894,31.5
Brooklyn,47,BK81,Brownsville,58300,4490,4569,5049,5864,4963,4019,3670,3530,3765,3885,3747,2813,2469,5467,30.2
Brooklyn,47,BK82,East New York,91958,6967,7161,7514,8555,7603,6663,5906,5739,6215,6563,5830,4635,4185,8422,31.3
Brooklyn,47,BK83,Cypress Hills-City Line,49223,3704,3654,3912,4432,4316,3895,3435,3328,3641,3527,3169,2644,1877,3689,30.9
Brooklyn,47,BK85,East New York (Pennsylvania Ave),29343,2423,2372,2417,2716,2596,2154,1925,1796,1939,2134,1932,1404,1141,2394,30
Brooklyn,47,BK88,Borough Park,106357,14703,11971,10024,9094,8640,7872,6829,5599,4171,4033,4622,4670,4319,9810,24.3
Brooklyn,47,BK90,East Williamsburg,34158,1342,1138,1307,1589,3351,5662,4232,2559,2057,1850,1830,1629,1471,4141,32.8
Brooklyn,47,BK91,East Flatbush-Farragut,50355,2827,2828,3231,3569,3610,3681,3379,3287,3204,3635,3714,3572,2954,6864,38.2
Brooklyn,47,BK93,Starrett City,13354,634,656,795,910,844,736,742,689,743,789,830,756,805,3425,44.6
Brooklyn,47,BK95,Erasmus,29938,2019,2010,1933,2161,2463,2384,2122,2018,2019,2222,2132,1783,1576,3096,34.7
Brooklyn,47,BK96,Rugby-Remsen Village,55326,3462,3395,3566,3908,3951,3966,3710,3599,3687,4136,4303,3512,3110,7021,37.3
Brooklyn,47,BK99,park-cemetery-etc-Brooklyn,418,25,15,8,15,27,49,83,59,51,31,24,11,9,11,34.2
Manhattan,61,MN01,Marble Hill-Inwood,46746,2812,2541,2769,3178,3752,4006,3750,3492,3482,3314,3230,3032,2387,5001,35.8
Manhattan,61,MN03,Central Harlem North-Polo Grounds,75282,4762,4478,4658,5569,6248,6490,6059,5204,5730,5636,4975,3964,3203,8306,34.4
